## Radial histogram, the fresh seeds (eight shells of EQUAL AREA, so a uniform disc reads 0.125 in every one; r/R bounds sqrt(k/8))
arm	t	n	shell0	shell1	shell2	shell3	shell4	shell5	shell6	shell7	f0	f1	f2	f3	f4	f5	f6	f7	mean r	sd r	median r	mean R-r (m to glass)	n within 0.5 m of glass	share within 0.5 m	n within 1 m	share within 1 m	mean depth	sd depth
r37b-s9	30000	1722	248	204	194	215	215	232	238	176	0.144	0.118	0.113	0.125	0.125	0.135	0.138	0.102	3.706	1.361	3.989	1.935	264	0.153	547	0.318	-20.13	13.09
r37b-s10	5000	1734	191	214	240	277	247	242	203	120	0.110	0.123	0.138	0.160	0.142	0.140	0.117	0.069	3.716	1.203	3.874	1.926	190	0.110	466	0.269	-18.53	12.54
r37b-s10	15000	1820	236	246	226	237	230	245	244	156	0.130	0.135	0.124	0.130	0.126	0.135	0.134	0.086	3.694	1.291	3.901	1.948	240	0.132	527	0.290	-19.84	12.31
r37b-s10	30000	1759	217	210	239	245	248	242	213	145	0.123	0.119	0.136	0.139	0.141	0.138	0.121	0.082	3.708	1.268	3.924	1.934	229	0.130	489	0.278	-21.63	14.36

## Azimuthal histogram, the fresh seeds (twelve sectors of 30 degrees, equal area; a spread disc reads 0.0833 in each). max/min and the resultant length R_bar say whether the crowd is clumped in angle: R_bar near 0 is even, near 1 is one arc.
arm	t	n	s00	s01	s02	s03	s04	s05	s06	s07	s08	s09	s10	s11	max share	min share	max/min	R_bar
r37b-s6	5000	1653	0.075	0.074	0.074	0.121	0.085	0.093	0.062	0.073	0.083	0.083	0.085	0.092	0.121	0.062	1.94	0.036
r37b-s6	15000	1617	0.075	0.095	0.092	0.080	0.064	0.087	0.080	0.076	0.085	0.105	0.088	0.074	0.105	0.064	1.64	0.026
r37b-s6	30000	1810	0.066	0.069	0.064	0.074	0.101	0.097	0.083	0.081	0.091	0.090	0.085	0.098	0.101	0.064	1.58	0.054
r37b-s7	5000	1091	0.077	0.053	0.092	0.114	0.094	0.108	0.084	0.101	0.083	0.056	0.072	0.065	0.114	0.053	2.14	0.121
r37b-s7	15000	1438	0.088	0.088	0.092	0.111	0.098	0.087	0.060	0.068	0.079	0.074	0.071	0.083	0.111	0.060	1.86	0.092
r37b-s7	30000	1585	0.072	0.085	0.081	0.095	0.085	0.081	0.091	0.091	0.089	0.059	0.078	0.093	0.095	0.059	1.61	0.035
r37b-s8	5000	1469	0.087	0.090	0.078	0.103	0.105	0.089	0.078	0.079	0.081	0.073	0.062	0.076	0.105	0.062	1.69	0.085
r37b-s8	15000	1714	0.078	0.068	0.070	0.082	0.111	0.106	0.082	0.067	0.093	0.071	0.090	0.081	0.111	0.067	1.66	0.054
r37b-s8	30000	1831	0.100	0.100	0.062	0.064	0.065	0.068	0.078	0.081	0.115	0.094	0.082	0.091	0.115	0.062	1.84	0.102
r37b-s9	5000	1349	0.096	0.091	0.093	0.070	0.093	0.082	0.085	0.088	0.096	0.056	0.075	0.075	0.096	0.056	1.71	0.035
r37b-s9	15000	1745	0.093	0.079	0.087	0.065	0.106	0.119	0.104	0.057	0.047	0.074	0.079	0.090	0.119	0.047	2.54	0.075
r37b-s9	30000	1722	0.077	0.085	0.071	0.069	0.074	0.068	0.091	0.087	0.105	0.115	0.087	0.072	0.115	0.068	1.69	0.091
r37b-s10	5000	1734	0.070	0.099	0.100	0.103	0.090	0.047	0.075	0.091	0.086	0.085	0.089	0.066	0.103	0.047	2.20	0.039
r37b-s10	15000	1820	0.077	0.085	0.078	0.081	0.068	0.053	0.081	0.080	0.113	0.108	0.085	0.092	0.113	0.053	2.15	0.093
r37b-s10	30000	1759	0.081	0.102	0.082	0.072	0.076	0.106	0.094	0.092	0.066	0.078	0.065	0.085	0.106	0.065	1.63	0.043

## Depth histogram, the fresh seeds (twelve bins of 5 m from the surface to the bed)
arm	t	n	0..-5	-5..-10	-10..-15	-15..-20	-20..-25	-25..-30	-30..-35	-35..-40	-40..-45	-45..-50	-50..-55	-55..-60	mean depth	sd depth	median depth	share in the top 5 m	share in the bottom 5 m
r37b-s6	5000	1653	0.254	0.189	0.175	0.139	0.110	0.064	0.027	0.015	0.008	0.007	0.007	0.004	-13.52	10.63	-11.57	0.254	0.004
r37b-s6	15000	1617	0.127	0.102	0.118	0.104	0.113	0.100	0.089	0.092	0.051	0.037	0.031	0.038	-23.68	15.51	-22.17	0.127	0.038
r37b-s6	30000	1810	0.123	0.115	0.108	0.114	0.109	0.146	0.119	0.066	0.041	0.027	0.019	0.013	-21.98	13.70	-21.88	0.123	0.013
r37b-s7	5000	1091	0.160	0.158	0.173	0.157	0.166	0.102	0.046	0.015	0.015	0.005	0.003	0.001	-16.05	10.22	-15.31	0.160	0.001
r37b-s7	15000	1438	0.149	0.145	0.132	0.115	0.179	0.118	0.075	0.045	0.029	0.006	0.003	0.002	-18.21	11.59	-18.11	0.149	0.002
r37b-s7	30000	1585	0.142	0.127	0.129	0.130	0.122	0.119	0.108	0.086	0.018	0.007	0.009	0.003	-19.64	12.24	-18.84	0.142	0.003
r37b-s8	5000	1469	0.136	0.157	0.157	0.163	0.131	0.070	0.053	0.045	0.032	0.034	0.015	0.007	-18.69	13.01	-16.36	0.136	0.007
r37b-s8	15000	1714	0.131	0.132	0.128	0.115	0.114	0.106	0.099	0.077	0.056	0.025	0.011	0.008	-20.97	13.49	-19.80	0.131	0.008
r37b-s8	30000	1831	0.115	0.123	0.139	0.132	0.131	0.098	0.096	0.091	0.060	0.008	0.004	0.003	-20.62	12.59	-19.57	0.115	0.003
r37b-s9	5000	1349	0.192	0.130	0.135	0.150	0.130	0.148	0.088	0.026	0.001	0.001	0.000	0.000	-16.53	10.52	-16.23	0.192	0.000
r37b-s9	15000	1745	0.117	0.105	0.109	0.140	0.139	0.123	0.136	0.109	0.014	0.001	0.003	0.003	-20.89	11.75	-21.17	0.117	0.003
r37b-s9	30000	1722	0.116	0.127	0.148	0.183	0.112	0.084	0.075	0.062	0.043	0.030	0.011	0.008	-20.13	13.09	-17.89	0.116	0.008
r37b-s10	5000	1734	0.185	0.140	0.114	0.104	0.134	0.108	0.088	0.086	0.029	0.010	0.001	0.000	-18.53	12.54	-18.09	0.185	0.000
r37b-s10	15000	1820	0.134	0.123	0.134	0.139	0.124	0.118	0.098	0.073	0.044	0.004	0.005	0.004	-19.84	12.31	-18.77	0.134	0.004
r37b-s10	30000	1759	0.132	0.117	0.119	0.144	0.111	0.109	0.078	0.072	0.036	0.037	0.027	0.017	-21.63	14.36	-19.57	0.132	0.017
