t,x,y,z,qw,qx,qy,qz,q0
17.3,0.000051,-10.00037,0,0.998645,0,0,-0.052045,-0.190418
17.4,0.000068,-9.999916,0,0.997529,0,0,-0.070255,-0.256235
17.5,0.000074,-9.999604,0,0.996776,0,0,-0.08024,-0.29228
17.6,0.00007,-9.999572,0,0.996713,0,0,-0.081015,-0.294963
17.7,0.000054,-9.999835,0,0.997371,0,0,-0.072468,-0.263885
17.8,0.000028,-10.00028,0,0.998464,0,0,-0.055408,-0.202014
17.9,-0.000004,-10.00071,0,0.999504,0,0,-0.031504,-0.115441
18,-0.000039,-10.00092,0,0.999995,0,0,-0.003126,-0.012765
18.1,-0.000073,-10.00079,0,0.999638,0,0,0.026908,0.095849
18.2,-0.000104,-10.00032,0,0.998451,0,0,0.055644,0.19977
18.3,-0.000131,-9.999647,0,0.996771,0,0,0.0803,0.28896
18.4,-0.000151,-9.998995,0,0.995136,0,0,0.098515,0.354857
18.5,-0.000162,-9.998573,0,0.994092,0,0,0.10854,0.391083
18.6,-0.00016,-9.998531,0,0.994,0,0,0.109384,0.394004
18.7,-0.000144,-9.998886,0,0.994895,0,0,0.100917,0.363155
18.8,-0.000117,-9.999516,0,0.996472,0,0,0.083926,0.301441
18.9,-0.000083,-10.00021,0,0.998195,0,0,0.06006,0.214913
19,-0.000045,-10.00074,0,0.999498,0,0,0.031683,0.112178
19.1,-0.00001,-10.00094,0,0.999999,0,0,0.001621,0.003447
19.2,0.00002,-10.00079,0,0.999631,0,0,-0.027154,-0.100579
19.3,0.000044,-10.00039,0,0.998656,0,0,-0.051837,-0.189798
19.4,0.00006,-9.999939,0,0.997544,0,0,-0.070047,-0.255614
19.5,0.000067,-9.999627,0,0.996792,0,0,-0.080032,-0.291658
19.6,0.000062,-9.999594,0,0.99673,0,0,-0.080806,-0.29434
19.7,0.000046,-9.999855,0,0.997386,0,0,-0.072259,-0.263261
19.8,0.000021,-10.0003,0,0.998475,0,0,-0.055199,-0.201389
19.9,-0.000012,-10.00072,0,0.99951,0,0,-0.031294,-0.114815
20,-0.000046,-10.00093,0,0.999996,0,0,-0.002916,-0.01214
20.1,-0.00008,-10.0008,0,0.999632,0,0,0.027117,0.096473
20.2,-0.000112,-10.00033,0,0.998439,0,0,0.055853,0.200394
20.3,-0.000138,-9.999655,0,0.996754,0,0,0.080509,0.289584
20.4,-0.000159,-9.998997,0,0.995115,0,0,0.098724,0.355481
20.5,-0.000169,-9.998573,0,0.994069,0,0,0.108749,0.391709
20.6,-0.000167,-9.99853,0,0.993977,0,0,0.109593,0.394632
20.7,-0.000152,-9.998885,0,0.994874,0,0,0.101127,0.363784
20.8,-0.000125,-9.999516,0,0.996454,0,0,0.084136,0.302071
20.9,-0.00009,-10.00021,0,0.998182,0,0,0.060271,0.215544
21,-0.000053,-10.00074,0,0.999491,0,0,0.031894,0.112808
21.1,-0.000018,-10.00095,0,0.999998,0,0,0.001831,0.004076
21.2,0.000012,-10.0008,0,0.999637,0,0,-0.026944,-0.09995
21.3,0.000036,-10.0004,0,0.998667,0,0,-0.051627,-0.189169
21.4,0.000052,-9.999946,0,0.997558,0,0,-0.069838,-0.254985
21.5,0.000059,-9.999634,0,0.996809,0,0,-0.079822,-0.291028
21.6,0.000055,-9.9996,0,0.996747,0,0,-0.080596,-0.293709
21.7,0.000039,-9.999859,0,0.997401,0,0,-0.072049,-0.262628
21.8,0.000013,-10.0003,0,0.998487,0,0,-0.054988,-0.200756
21.9,-0.000019,-10.00072,0,0.999517,0,0,-0.031083,-0.114182
22,-0.000054,-10.00093,0,0.999996,0,0,-0.002706,-0.011507
22.1,-0.000088,-10.00079,0,0.999627,0,0,0.027327,0.097105
22.2,-0.000119,-10.00032,0,0.998427,0,0,0.056063,0.201025
22.3,-0.000146,-9.999644,0,0.996737,0,0,0.080719,0.290215
22.4,-0.000167,-9.998985,0,0.995094,0,0,0.098933,0.356113
22.5,-0.000177,-9.998562,0,0.994046,0,0,0.108959,0.392342
22.6,-0.000175,-9.998519,0,0.993953,0,0,0.109803,0.395267
22.7,-0.00016,-9.998874,0,0.994852,0,0,0.101338,0.364421
22.8,-0.000133,-9.999504,0,0.996436,0,0,0.084348,0.302709
22.9,-0.000099,-10.0002,0,0.998169,0,0,0.060483,0.216183
23,-0.000061,-10.00073,0,0.999485,0,0,0.032106,0.113447
23.1,-0.000026,-10.00094,0,0.999998,0,0,0.002043,0.004714
23.2,0.000004,-10.00079,0,0.999643,0,0,-0.026733,-0.099314
23.3,0.000028,-10.00039,0,0.998677,0,0,-0.051416,-0.188533
23.4,0.000044,-9.999939,0,0.997573,0,0,-0.069626,-0.254348
23.5,0.000051,-9.999628,0,0.996826,0,0,-0.079611,-0.29039
23.6,0.000046,-9.999595,0,0.996764,0,0,-0.080385,-0.293069
23.7,0.00003,-9.999851,0,0.997416,0,0,-0.071837,-0.261988
23.8,0.000005,-10.00029,0,0.998499,0,0,-0.054776,-0.200114
23.9,-0.000028,-10.00071,0,0.999523,0,0,-0.030871,-0.113541
24,-0.000062,-10.00091,0,0.999997,0,0,-0.002493,-0.010866
24.1,-0.000097,-10.00077,0,0.999621,0,0,0.027539,0.097745
