t,x,y,z,qw,qx,qy,qz,q0,q1
10.2,0.003007,-9.987669,0,0.998127,0,0,0.061176,0.174491,-0.056934
10.3,0.003792,-9.986389,0,0.995571,0,0,0.094015,0.270105,-0.08883
10.4,0.003827,-9.985053,0,0.99323,0,0,0.116168,0.343352,-0.135009
10.5,0.003124,-9.983986,0,0.992092,0,0,0.125511,0.387106,-0.190998
10.6,0.001751,-9.983386,0,0.992642,0,0,0.121089,0.396934,-0.251271
10.7,-0.000168,-9.98325,0,0.994651,0,0,0.103289,0.371692,-0.309817
10.8,-0.00245,-9.983384,0,0.99727,0,0,0.073848,0.313769,-0.360776
10.9,-0.00487,-9.983498,0,0.999363,0,0,0.035693,0.228903,-0.399116
11,-0.007179,-9.983322,0,0.999973,0,0,-0.007373,0.125584,-0.421164
11.1,-0.009133,-9.982737,0,0.998694,0,0,-0.051098,0.014073,-0.424926
11.2,-0.010534,-9.981819,0,0.995828,0,0,-0.091253,-0.094756,-0.410194
11.3,-0.011252,-9.98082,0,0.992279,0,0,-0.124022,-0.190469,-0.378466
11.4,-0.011241,-9.980062,0,0.98924,0,0,-0.146301,-0.263918,-0.332768
11.5,-0.010518,-9.979816,0,0.98777,0,0,-0.155916,-0.307949,-0.277464
11.6,-0.00915,-9.980209,0,0.98841,0,0,-0.151812,-0.318066,-0.217898
11.7,-0.007253,-9.981142,0,0.990947,0,0,-0.134256,-0.293068,-0.159901
11.8,-0.004992,-9.982316,0,0.994484,0,0,-0.104893,-0.235295,-0.109207
11.9,-0.002574,-9.983328,0,0.997779,0,0,-0.066618,-0.150472,-0.070821
12,-0.000237,-9.983814,0,0.999729,0,0,-0.02328,-0.047121,-0.048508
12.1,0.001773,-9.983586,0,0.999784,0,0,0.020767,0.064438,-0.044442
12.2,0.003245,-9.982692,0,0.998128,0,0,0.061167,0.173265,-0.059036
12.3,0.004031,-9.981379,0,0.995571,0,0,0.094012,0.26888,-0.090927
12.4,0.004067,-9.980006,0,0.993229,0,0,0.11617,0.342123,-0.137104
12.5,0.003365,-9.978903,0,0.992092,0,0,0.125516,0.385871,-0.193092
12.6,0.001992,-9.978262,0,0.992641,0,0,0.121098,0.395692,-0.253366
12.7,0.000074,-9.978083,0,0.99465,0,0,0.103303,0.370442,-0.311912
12.8,-0.002206,-9.978173,0,0.997268,0,0,0.073869,0.312513,-0.362873
12.9,-0.004624,-9.978241,0,0.999362,0,0,0.035722,0.227644,-0.401215
13,-0.006931,-9.97802,0,0.999973,0,0,-0.007336,0.124325,-0.423266
13.1,-0.008884,-9.977389,0,0.998696,0,0,-0.051054,0.012815,-0.427033
13.2,-0.010283,-9.97643,0,0.995832,0,0,-0.091204,-0.096013,-0.412306
13.3,-0.011,-9.975391,0,0.992286,0,0,-0.12397,-0.191726,-0.380585
13.4,-0.010986,-9.974594,0,0.989248,0,0,-0.146247,-0.26518,-0.334895
13.5,-0.010261,-9.974319,0,0.987779,0,0,-0.155861,-0.309218,-0.2796
13.6,-0.008891,-9.974679,0,0.988418,0,0,-0.151756,-0.319344,-0.220041
13.7,-0.006991,-9.975583,0,0.990955,0,0,-0.134198,-0.294353,-0.162049
13.8,-0.004726,-9.976729,0,0.99449,0,0,-0.104831,-0.236585,-0.111358
13.9,-0.002304,-9.977715,0,0.997783,0,0,-0.066548,-0.151763,-0.072971
14,0.000035,-9.978176,0,0.999731,0,0,-0.023201,-0.048409,-0.050654
14.1,0.002048,-9.977922,0,0.999783,0,0,0.020854,0.063154,-0.046583
14.2,0.003521,-9.976999,0,0.998122,0,0,0.061261,0.171984,-0.061171
14.3,0.004308,-9.975658,0,0.995562,0,0,0.094112,0.267599,-0.093058
14.4,0.004344,-9.974255,0,0.993217,0,0,0.116273,0.340839,-0.139232
14.5,0.003642,-9.973118,0,0.992078,0,0,0.125622,0.384582,-0.195219
14.6,0.00227,-9.972444,0,0.992627,0,0,0.121208,0.394394,-0.255493
14.7,0.000354,-9.972226,0,0.994638,0,0,0.103418,0.369137,-0.314041
14.8,-0.001924,-9.972276,0,0.997259,0,0,0.07399,0.311202,-0.365003
14.9,-0.00434,-9.972304,0,0.999357,0,0,0.03585,0.22633,-0.403348
15,-0.006645,-9.972043,0,0.999974,0,0,-0.0072,0.12301,-0.425402
15.1,-0.008597,-9.971373,0,0.998703,0,0,-0.050912,0.011502,-0.429172
15.2,-0.009995,-9.970374,0,0.995846,0,0,-0.091056,-0.097324,-0.414451
15.3,-0.010711,-9.969297,0,0.992305,0,0,-0.12382,-0.193039,-0.382737
15.4,-0.010696,-9.968468,0,0.98927,0,0,-0.146097,-0.266497,-0.337055
15.5,-0.009969,-9.968158,0,0.987803,0,0,-0.155712,-0.310542,-0.281768
15.6,-0.008596,-9.96849,0,0.988441,0,0,-0.151607,-0.320678,-0.222218
15.7,-0.006692,-9.969368,0,0.990975,0,0,-0.134046,-0.295695,-0.164232
15.8,-0.004423,-9.970491,0,0.994507,0,0,-0.104675,-0.237932,-0.113543
15.9,-0.001998,-9.971457,0,0.997794,0,0,-0.066385,-0.153111,-0.075155
16,0.000345,-9.971896,0,0.999735,0,0,-0.023029,-0.049755,-0.052834
16.1,0.00236,-9.971621,0,0.999779,0,0,0.021034,0.061813,-0.048758
16.2,0.003834,-9.970675,0,0.99811,0,0,0.061447,0.170646,-0.06334
16.3,0.004621,-9.969311,0,0.995544,0,0,0.094302,0.266262,-0.095223
16.4,0.004657,-9.96788,0,0.993195,0,0,0.116466,0.339499,-0.141394
16.5,0.003955,-9.966714,0,0.992053,0,0,0.125818,0.383235,-0.19738
16.6,0.002584,-9.966006,0,0.992603,0,0,0.121407,0.39304,-0.257654
16.7,0.000669,-9.965755,0,0.994617,0,0,0.103621,0.367775,-0.316203
16.8,-0.001608,-9.965771,0,0.997244,0,0,0.0742,0.309834,-0.367166
16.9,-0.004022,-9.965761,0,0.999349,0,0,0.036068,0.224959,-0.405513
17,-0.006325,-9.965462,0,0.999976,0,0,-0.006975,0.12164,-0.42757
17.1,-0.008276,-9.964753,0,0.998715,0,0,-0.050681,0.010133,-0.431345
17.2,-0.009673,-9.963718,0,0.995867,0,0,-0.090821,-0.098691,-0.416629
17.3,-0.010388,-9.962608,0,0.992334,0,0,-0.123583,-0.194408,-0.384922
17.4,-0.010372,-9.961746,0,0.989305,0,0,-0.14586,-0.26787,-0.339249
17.5,-0.009643,-9.961409,0,0.98784,0,0,-0.155477,-0.311923,-0.283971
17.6,-0.008267,-9.961715,0,0.988477,0,0,-0.151372,-0.322068,-0.224428
17.7,-0.00636,-9.96257,0,0.991007,0,0,-0.13381,-0.297094,-0.166448
17.8,-0.004087,-9.963674,0,0.994532,0,0,-0.104435,-0.239336,-0.115762
17.9,-0.001658,-9.964621,0,0.997811,0,0,-0.066138,-0.154517,-0.077374
18,0.000688,-9.965042,0,0.999741,0,0,-0.022775,-0.051158,-0.055049
18.1,0.002705,-9.964748,0,0.999773,0,0,0.021296,0.060415,-0.050967
18.2,0.004179,-9.963782,0,0.998094,0,0,0.061716,0.169252,-0.065543
18.3,0.004966,-9.962396,0,0.995518,0,0,0.094575,0.264869,-0.097421
18.4,0.005002,-9.96094,0,0.993163,0,0,0.116741,0.338102,-0.14359
18.5,0.0043,-9.959747,0,0.992018,0,0,0.126094,0.381832,-0.199575
18.6,0.002929,-9.959011,0,0.992569,0,0,0.121686,0.391629,-0.259849
18.7,0.001015,-9.958728,0,0.994587,0,0,0.103905,0.366355,-0.318398
18.8,-0.00126,-9.95871,0,0.997222,0,0,0.07449,0.308409,-0.369363
18.9,-0.003673,-9.958664,0,0.999339,0,0,0.036365,0.223531,-0.407711
19,-0.005975,-9.958329,0,0.999978,0,0,-0.00667,0.120212,-0.429771
19.1,-0.007925,-9.957589,0,0.998731,0,0,-0.05037,0.008707,-0.43355
19.2,-0.009322,-9.956522,0,0.995896,0,0,-0.090507,-0.100116,-0.418841
19.3,-0.010036,-9.955381,0,0.992374,0,0,-0.123268,-0.195834,-0.387142
19.4,-0.010019,-9.954491,0,0.989352,0,0,-0.145547,-0.269301,-0.341477
19.5,-0.009288,-9.954126,0,0.987889,0,0,-0.155165,-0.313362,-0.286208
19.6,-0.00791,-9.954411,0,0.988524,0,0,-0.151062,-0.323517,-0.226674
19.7,-0.005999,-9.955244,0,0.991049,0,0,-0.133499,-0.298552,-0.1687
19.8,-0.003722,-9.956329,0,0.994565,0,0,-0.104119,-0.2408,-0.118017
