clause	seed	last_t	alive	births	gestation_births	upt_lim	trickle_spawns	pool_spawns	founders_by_src	pool	build_markers	manifest_status	baseline	header_tokens	bud_rows	children	per_child	by_cell	first_at	held	expressed	share	budx	stillbirths	self_overlap_stillbirths	absorptive_bud_rows	bud_roots	roots_with_living	living	living_from	short	best_root	best_root_born	best_living	best_stomachs	best_mixotrophs	at	gestated_J	held_in_accounts_J	gm1_child_rows	early_window	late_window	early_share	early_children	late_share	late_children	early_share_all_rows	late_share_all_rows	gestation_births_per_death	lump_births_per_death	gestation_deaths	lump_births	lump_deaths	mean_birth_investment	baseline_at	baseline_value	max_alive	max_at	ceiling	manifest_reason	samples	mean_age_s	stomach_children	dead	still_alive	median_age_at_death_s	quartiles	pool_founders	bred	bred_by_pool_index	rooted_in_pool	of_them_stomachs	by_pool_index	depth_rule	read	no_absorptive_row	no_column	first_row_is_death_row	at_or_over_mean	median_first_J_m3	median_column_mean_J_m3	r47_median_first_J_m3	samples_first_vs_mean	placed	in_top_12m	median_depth_m	median_above_floor_m	median_row_lag_s	l4_breeders	l4_placed	l4_at_or_over_1	note	endowed_founders	endow_median_J	endow_min_J	endow_max_J	share_bred	pool_endowed	pool_endow_median_J	pool_median_age_at_death_s	pool_share_bred	audit_absmax_J	matter_resid_at	matter_resid	diverged	diverged_dump_files	censored	provisional	table_columns	open_columns	dumps	dumps_held_J_m3	dumps_held_J_m2	min_ratio_J_m3	last_at	table_J_m3	open_J_m3	table_J_m2	open_J_m2	as_r47	base_table_J_m3	base_open_J_m3	base_min_ratio_J_m3	base_dumps_held_J_m3	base_last_at	base_dumps	base_as_r47	band	volume_under_m3	volume_beside_m3	samples_fewer_under	ties	under	beside	under_per_m3	beside_per_m3	mean_under_per_m3	mean_beside_per_m3	base_under_per_m3	base_beside_per_m3	base_mean_under_per_m3	base_mean_beside_per_m3	base_samples_fewer_under	base_samples	pace_x_real	source	last_window_pace_x_real
ctx	r48-s3	30000	8589	55050	3683	0.702204	901	84	floor:52 pool:84 trickle:817	on	floorsWeighRigidGroups gestationModeChance senescenceWearsIntake founderEndowmentSeconds foundersFollowFoodDepth	ended	r47-s3	floors rigid groups; founders in their food at its depth; endowment 600 s; senescence 3000 s on upkeep; overhead 50 J; overhead scale x2 floor 50 J; gestation mut=0.08 share=0.5-0.5 at 0.08; minkg=0.05; invest=0.05-1; trickle 1/30 s; pool 0.1 of 4; cellType mut 0.005; ceiling 25000																																																																																																																																					
M1	r48-s3														491	55050	0.00891916	absorptive:75 buoyancy:84 consumer:82 link:47 neural:88 photosynthetic:37 structural:79	249	True																																																																																																																															
M2	r48-s3														491					True	481	0.979633	0:10 1:481	2042	2042																																																																																																																										
M3	r48-s3																			False						75	73	20	8587	positions row at 30000 s	False	43138	26307.5	6	0	2																																																																																																															
G1	r48-s3			55050	3683															True											False						30000	458420	26146	7473																																																																																																											
G2	r48-s3				709															False																					3000 to 8000 s	25000 to 30000 s	0.198919	2961	0.117633	16441	0.188239	0.116499	0.455656	1.21718	1556	15732	12925																																																																																														
O1	r48-s3												r47-s3							True											False						30000																	0.559107	30000	0.784114																																																																																											
O2a	r48-s3		8589										r47-s3							True											False						30000																		30000	2501																																																																																											
O2b	r48-s3																			True																																					8589	30000	25000	budget	3000																																																																																						
S1	r48-s3												r47-s3							True											False						30000																		30000	1778.22						2006.21																																																																																					
S2	r48-s3																			False																																											73	73	0	454.5	79 to 1430																																																																																
F1	r48-s3																			True																																												84	0	335	232 to 628	84																																																																															
F2	r48-s3															23				True																																																84	18	0:18																																																																													
F3	r48-s3																			False									8587		False						30000																																		0	0																																																																											
F4	r48-s3																			False		0.190476																																														84						on	84	0	0	0	16	0.182516	0.388978	0.12	3274@3290s:0.417/0.441 3318@3350s:2.2/17.6 3398@3540s:0.141/0.329 3411@3570s:0.425/0.298 3465@3670s:0.204/0.36 3471@3690s:0.141/0.338 3689@4110s:0.0896/0.527 3694@4120s:0.377/0.193	84	72	3.295	44.5315	6.5	18	18	1	densityHere is what the body was fed at, share-multiplied (a crowded cell reads under its density); the column is the founder's first positions row's; held over the founders read																																																							
E1	r48-s3																			reading																																												947		133.5																											953	75.1972	3.21548	784.514	0.103882	84	117.774	335	0.214286																																														
B1	r48-s3											ended								True											False																																																																							0.000200588	30000	6.44121e-07	0	0	False	False																																							
R1a	r48-s3												r47-s3							reading																																																																								a table column's sum is the snow on the table plus the room under the cap down to the floor; no record isolates the table's top. J/m3 is over the column's water (rock out), J/m2 over its area; held on J/m3																	5602	2951	201	201	52	1.09617	30000	0.628319	0.502802	17.8123	30.3077	True	0.336075	0.265327	1.26664	201	30000	201	True																				
R1b	r48-s3												r47-s3							reading																																									41																																																						30000					True					30000		True	each cap's underside down 10 m (undersides -4 to -5.82 m)	51686.2	84581.3	41	0	429	1846	0.00830008	0.0218252	0.00532765	0.0134986	0.0011415	0.00290844	0.00118114	0.00248051	41	41			
P1	r48-s3											ended								True																																																																																							False																																						1.13448	run.json timesRealTime	0.640925
